fraser_annings_conservative_national_party_ordinary_votes, socialist_alliance_ordinary_votes, labor_ordinary_votes, latitude, longitude,post_code, polling_place_name, state, division_name, australian_democrats_ordinary_votes, non_affiliated_candidates_ordinary_votes, the_greens_ordinary_votes, national_party_ordinary_votes, australian_progressives_ordinary_votes, christian_democratic_party_fred_nile_group_ordinary_votes, centre_alliance_ordinary_votes, australian_workers_party_ordinary_votes, western_australia_party_ordinary_votes, division_id, liberal_democrats_ordinary_votes, liberal_ordinary_votes, the_nationals_ordinary_votes, australia_first_party_ordinary_votes, polling_place_id, united_australia_party_ordinary_votes, informal_ordinary_votes, katters_australian_party_kap_ordinary_votes, polling_place_type_id, socialist_equality_party_ordinary_votes
null,null,null,-34.921832,138.598961,5000,BLV Adelaide PPVC,SA,Adelaide,1,null,0,null,null,null,null,null,null,179,null,12,null,null,65592,2,0,null,5,null
0,0,null,-27.464229,153.031035,4000,BLV Brisbane PPVC,QLD,Brisbane,null,null,1,null,null,null,null,null,null,156,null,null,null,null,65598,1,0,null,5,null
24,36,null,-27.4622476,153.0317586,4000,Brisbane BRISBANE PPVC,QLD,Brisbane,null,null,795,null,null,null,null,null,null,156,null,null,null,null,65729,71,100,null,5,null
null,null,null,-35.3019611,149.1299644,2600,Parkes (Canberra),ACT,Canberra,null,null,686,null,105,null,null,null,null,101,null,453,null,null,65741,16,19,null,1,null
null,null,null,-35.3019611,149.1299644,2600,Parkes CANBERRA PPVC,ACT,Canberra,null,null,571,null,40,null,null,null,null,101,null,933,null,null,65742,42,37,null,5,null
null,null,null,-35.2277375,149.1486707,2911,Gungahlin CANBERRA PPVC,ACT,Canberra,null,null,516,null,27,null,null,null,null,101,null,744,null,null,65981,59,69,null,5,null
0,0,null,-27.4465865,153.0280495,2031,Special Hospital Team 3,QLD,Brisbane,null,null,2,null,null,null,null,null,null,156,null,null,null,null,66051,0,2,null,2,null
null,null,396,-33.8638565,151.2092587,2000,Sydney NORTH SYDNEY PPVC,NSW,North Sydney,null,null,240,null,null,23,null,null,null,137,null,1036,null,null,66054,18,72,null,5,null
null,null,null,-31.8716811,115.9227991,6063,Beechboro West (Perth),WA,Perth,null,null,null,null,null,null,null,null,23,245,null,193,null,null,71389,10,48,null,1,null
null,null,null,-31.8761,115.934,6054,Kiara (Perth),WA,Perth,null,null,null,null,null,null,null,null,13,245,null,143,null,null,71390,7,32,null,1,null
