,Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party
78,Hunter,-32.909808,151.4576268,0.0,33482.0,5759.0,0.0,3732
79,Indi,-36.50995,146.4214751,0.0,0.0,0.0,29749.0,3191
80,Isaacs,-37.9890524,145.107,0.0,0.0,0.0,26888.0,3029
81,Jagajaga,-37.71329,145.0885,0.0,0.0,0.0,31418.0,2846
82,Kennedy,-17.894750000000002,145.8075,2063.0,0.0,3909.0,0.0,5259
83,Kingsford Smith,-33.924299500000004,151.2343668,0.0,37557.0,9331.0,29558.0,1392
84,Kingston,-35.10601,138.531,0.0,0.0,7712.0,26481.0,4144
85,Kooyong,-37.8189,145.058,0.0,0.0,0.0,35305.0,736
86,La Trobe,-38.05,145.3727889,0.0,0.0,0.0,35090.0,1889
87,Lalor,-37.885805000000005,144.6769435,0.0,0.0,0.0,23018.0,3527
88,Leichhardt,-16.80936775,145.6894631,1603.0,0.0,7794.0,0.0,3066
89,Lilley,-27.3888,153.034873,922.0,0.0,11009.0,0.0,1642
90,Lindsay,-33.75631725,150.71,1968.0,30292.0,3960.0,39391.0,2364
91,Lingiari,-12.64885,131.078215,0.0,0.0,2624.0,0.0,849
92,Longman,-27.113149999999997,152.96680965000002,1662.0,0.0,5399.0,0.0,2645
93,Lyne,-31.936821000000002,152.4610005,1661.0,21272.0,5461.0,0.0,3482
94,Lyons,-42.3417029,147.23375585,0.0,0.0,5501.0,13725.0,3561
95,Macarthur,-34.048,150.8149677,0.0,42462.0,3617.0,26571.0,2179
96,Mackellar,-33.72789575,151.2907469,0.0,14063.0,9287.0,44255.0,1911
97,Macnamara,-37.84979625,144.98201039999998,0.0,0.0,0.0,23942.0,733
98,Macquarie,-33.6447,150.664,0.0,32917.0,7518.0,38159.0,3286
99,Makin,-34.811,138.67,0.0,0.0,7521.0,28995.0,5494
100,Mallee,-36.0189,142.79726225000002,1114.0,0.0,0.0,13767.0,2522
101,Maranoa,-27.182832,151.1682496,1589.0,0.0,2383.0,0.0,2609
102,Maribyrnong,-37.76495,144.902735,0.0,0.0,0.0,27263.0,2609
103,Mayo,-35.0665,138.72805,0.0,0.0,8487.0,34657.0,2797
104,McEwen,-37.5642,144.979515,0.0,0.0,0.0,23996.0,2062
105,McMahon,-33.8409,150.9418413,0.0,32560.0,3197.0,22842.0,2530
106,McPherson,-28.0887793,153.4215,652.0,0.0,8314.0,0.0,2471
107,Melbourne,-37.8005296,144.9749601,0.0,0.0,0.0,13491.0,658
108,Menzies,-37.768699999999995,145.15699999999998,0.0,0.0,0.0,37796.0,1917
109,Mitchell,-33.746395,150.98383669999998,0.0,19860.0,6438.0,50755.0,2173
110,Monash,-38.2604,145.89121725,0.0,0.0,0.0,39163.0,3372
111,Moncrieff,-28.00847525,153.40232759999998,917.0,0.0,7083.0,0.0,2743
112,Moore,-31.7842,115.7602998,0.0,0.0,0.0,37536.0,1234
113,Moreton,-27.5380321,153.0313852,1185.0,0.0,11830.0,0.0,1485
114,New England,-30.88671,151.113421,0.0,10799.0,3596.0,0.0,3927
115,Newcastle,-32.91906444999999,151.72,0.0,40928.0,13947.0,25870.0,2944
116,Nicholls,-36.35685,145.274,0.0,0.0,0.0,0.0,4446
117,North Sydney,-33.82088795,151.1962403,0.0,19781.0,10410.0,39762.0,973
118,O'Connor,-33.7047953,117.8762078,0.0,0.0,0.0,29759.0,1315
119,Oxley,-27.6083609,152.935,1149.0,0.0,8464.0,0.0,1849
120,Page,-29.0754439,153.194,0.0,24952.0,10581.0,0.0,2904
121,Parkes,-31.392140750000003,148.6438005,0.0,19660.0,3234.0,0.0,5136
122,Parramatta,-33.80955,151.0048344,0.0,30925.0,4715.0,27785.0,1646
123,Paterson,-32.759210100000004,151.64749999999998,0.0,39643.0,6373.0,30708.0,3436
124,Pearce,-31.67420755,115.860913,0.0,0.0,0.0,31215.0,1677
125,Perth,-31.9198,115.8785319,0.0,0.0,0.0,25540.0,1210
126,Petrie,-27.2466,153.03,1147.0,0.0,6991.0,0.0,2541
127,Rankin,-27.6387094,153.098,1247.0,0.0,6176.0,0.0,2511
128,Reid,-33.86392825,151.1039965,0.0,28510.0,5684.0,36720.0,1273
129,Richmond,-28.3852827,153.5329997,0.0,28279.0,17670.0,0.0,3384
130,Riverina,-34.5108873,147.7385,0.0,20840.0,5312.0,0.0,9676
131,Robertson,-33.4508,151.3431413,0.0,28422.0,6234.0,38025.0,2204
132,Ryan,-27.4689443,152.966,710.0,0.0,15661.0,0.0,1085
133,Scullin,-37.6638,145.051,0.0,0.0,0.0,15583.0,3519
134,Shortland,-33.00084255,151.6607928,0.0,35203.0,6956.0,32141.0,3802
135,Solomon,-12.429844,130.882124,0.0,0.0,5614.0,0.0,1274
136,Spence,-34.71145,138.671176,0.0,0.0,5872.0,21023.0,5706
137,Stirling,-31.883585500000002,115.84071019999999,0.0,0.0,0.0,31869.0,1128
138,Sturt,-34.905367,138.645,0.0,0.0,9176.0,41925.0,1900
139,Swan,-31.979165899999998,115.9123519,438.0,0.0,0.0,28373.0,1126
140,Sydney,-33.8847514,151.204,0.0,37924.0,13259.0,19551.0,1046
141,Tangney,-32.03990505,115.85331325,0.0,0.0,0.0,35712.0,713
142,Wannon,-38.092791500000004,142.77411999999998,0.0,0.0,0.0,44940.0,5285
143,Warringah,-33.79524025,151.253,212.0,4873.0,4461.0,30478.0,516
144,Watson,-33.9060028,151.085,0.0,34415.0,4603.0,18996.0,2569
145,Wentworth,-33.8837,151.246,0.0,7947.0,5281.0,34237.0,470
146,Werriwa,-33.93493625,150.86849999999998,0.0,38351.0,3990.0,27550.0,3298
147,Whitlam,-34.5190544,150.801,0.0,44647.0,8008.0,0.0,7850
148,Wide Bay,-26.1795131,152.694,1746.0,0.0,7435.0,0.0,2723
149,Wills,-37.7419,144.95182,0.0,0.0,0.0,12713.0,2417
150,Wright,-27.8239,152.916,1677.0,0.0,5010.0,0.0,3384
