tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
@POTUS @ScottMorrisonMP #australia could have lead the way on #ClimateAction but instead we only react when someone… https://t.co/gR2tLHheyN,2021-04-22 15:44:11,"Mundijong, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
LIVE: President Biden and VP Harris speak at the Leaders Summit on Clima... https://t.co/2TXUZewlXH via @YouTube… https://t.co/RFnZ41OVNk,2021-04-22 15:11:06,"Mundijong, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
Earth Day is an annual event on April 22 to demonstrate support for environmental protection. First held on April 2… https://t.co/Z2Ai2hcdG3,2021-04-22 12:24:20,,[152.99319654 -27.38214299],"Brisbane, Queensland"
Today's #EarthDay and we've joined a global call to improve environmental sustainability in eye health. We support… https://t.co/RcK33OxHba,2021-04-22 09:13:02,Australia,[136.0151665 -26.441329 ],Australia
"The 1000 most prolific scientists who have shown that #climatechange is happening, told us what to do about it, but… https://t.co/ACQ7Q2c7Nn",2021-04-22 08:55:25,Brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland"
"If #Morrison truly thinks he's doing God's work then God needs a new recruiter.

#auspol",2021-04-30 02:14:41,,[145.05313534 -37.97256651],"Melbourne, Victoria"
@AmyRemeikis He can't afford an exorbitant airfare even if he cld get a flight home. His health would not allow him… https://t.co/2SIn8XB8YO,2021-04-27 04:13:53,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
@7NewsSydney @ChrisReason7 And what about the #HOMELESS PEOPLE IN #QLD could you fund #housingmarket #housing too?… https://t.co/imz9uq1otr,2021-04-26 08:27:39,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
@PhillipAdams_1 Scott #Morrison in a dress..marketing exercise..nothing more.,2021-04-24 05:50:36,"Sydney, New South Wales",[150.05434676 -32.83103996],"New South Wales, Australia"
Imagine the (even more) electoral trouble #Morrison would be in if #winebars collocated next to #AustraliaPost offi… https://t.co/lRFAavm7B7,2021-04-23 20:55:46,"Sunshine Coast, Australia",[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
