tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
"Happy Labour Day.

Celebrating all the achievements of workers in our State and fighting back against any attacks o… https://t.co/pZPNYchKqJ",2021-05-03 03:03:47,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland"
@hughriminton It falls flat coming from a man like Bolt who is the quintessential representation of racism. Very di… https://t.co/WuC99czt4b,2021-05-03 02:49:23,Paris via Sydney-London,[150.9319748 -33.848244 ],"Sydney, New South Wales"
https://t.co/NTKa7WksIA troops out media out sanctions on those who supply weapons to #Terrorists groups in… https://t.co/eAIWgVbjKU,2021-05-03 02:48:27,Perth WA ,[150.05434676 -32.83103996],"New South Wales, Australia"
"#LiarFromTheShire: We are following ""health advice"" by imposing a ban on return flights from India and the tough me… https://t.co/L7ncB3HAkH",2021-05-03 02:24:16,"Mudjimba, Qld, Australia",[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
The Port of Melbourne was sold to a consortium backed by China in 2016. #auspol,2021-05-03 01:56:21,"Australia, Follow ≠ Endorsment",[152.99319654 -27.38214299],"Brisbane, Queensland"
Criminalising Australians to return home is unAustralian. #auspol,2021-05-03 01:54:14,Australia,[115.92831869 -32.15010042],"Perth, Western Australia"
Concise article about the #LiarFromTheShire &amp; very worrying for those that embrace civil &amp; human rights: Scotty fro… https://t.co/l99eVXe2ea,2021-05-03 01:48:22,"Queensland, Australia",[151.86541454 -26.31508578],"Wondai, Queensland"
"Where would they stay, you ask? Check the half-empty backpacker joints or unis - #subsidised #accommodation at the… https://t.co/P8sgjHXgqf",2021-05-03 01:38:06,somewhere in Arnhemland,[130.93330842 -12.42590065],"Darwin, Northern Territory"
Significant Heavy Lifting will be needed to  support workers in communities like the #LatrobeValley &amp; #HunterValley… https://t.co/vsL3YBCMZ9,2021-05-03 01:26:18,"Latrobe Valley, Gippsland, Mel",[146.42017059 -38.23085203],"Morwell, Victoria"
"@drlouisehansen Hi Girls, thank you for offering asylum to Australians. I wish our Government was as generous.… https://t.co/2BTvOFucb7",2021-05-03 00:59:40,,[145.05313534 -37.97256651],"Melbourne, Victoria"
@SkyNewsAust @D_LittleproudMP MR @D_LittleproudMP bring water under federal government control too much of it's und… https://t.co/ANVWrlH7jm,2021-05-03 00:57:21,Perth WA ,[150.05434676 -32.83103996],"New South Wales, Australia"
If only someone had warned us against the sort of Identity Politics that leaves our citizens stranded in India for… https://t.co/EBnR4E15gy,2021-05-03 00:42:23,Australian Capital Territory,[150.9319748 -33.848244 ],"Sydney, New South Wales"
If Scotty the fucknuckle wins the election and the Rona is finally under control Scotty can implement his delayed w… https://t.co/KD0RURrHna,2021-05-03 00:41:32,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland"
Why on 2GB? FFS.. Isn't that like being interviewed by Skynews nutjobs?    #auspol https://t.co/2vOAy1gZwQ,2021-05-03 00:30:45,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland"
"Can someone please remind Matt he is part of the Commonwealth Government of Australia. 

His Gov, his party, his vo… https://t.co/tTcD2aMYsr",2021-05-03 00:19:50,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
I’m an everyday Australian @PeterDutton_MP doesn’t speak for me #auspol https://t.co/M15E0U0JyD,2021-05-03 00:11:14,"Brisbane, Australia",[152.99319654 -27.38214299],"Brisbane, Queensland"
"Whether it’s legal or not is one question. 
Whether it’s moral is another and better question. 
And the other quest… https://t.co/lsV2SlCz8d",2021-05-02 23:53:01,Sydney,[150.9319748 -33.848244 ],"Sydney, New South Wales"
@QSArchives And if the current Federal government has it way by the end of  this decade they'll be forced to work 1… https://t.co/NMzMZfuYhC,2021-05-02 23:47:28,"Brisbane, AU",[152.99319654 -27.38214299],"Brisbane, Queensland"
@AEUNT 2021 Conference in Alice Springs. Our theme: Bargaining to Win. Delegates unanimously rejected the Gunner Go… https://t.co/VmgkXR8QHy,2021-05-02 23:46:58,Darwin Australia,[130.93330842 -12.42590065],"Darwin, Northern Territory"
"@MichaelPascoe01 @Daemonised The average Aussie is a below average intelligence twit, this is why LNP continue to b… https://t.co/X65CP2wIAy",2021-05-02 23:31:39,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
"#LiarFromTheShire lives up to his name
#auspol #nswpol #LNPCrimeFamily #India #COVID19Aus https://t.co/NmcJFxgZoF",2021-05-02 23:28:30,"Hell,Hades,Mictlan,Tartarus",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"Really?  Our generation were brought up on crown and empire, heroising brutality etc. And we were the marching, sho… https://t.co/WrwsS067yP",2021-05-02 23:16:06,,[152.99319654 -27.38214299],"Brisbane, Queensland"
"It’s racism, the reason people coming from India have been banned, when USA &amp; European countries had no such bans i… https://t.co/10UerQlKpB",2021-05-02 23:07:16,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
An Australian is an Australian is an Australian.  They are not criminals. Bring #Aussies home from India. #Australia #auspol,2021-05-02 23:03:15,Wurundjeri land (Melbourne),[145.05313534 -37.97256651],"Melbourne, Victoria"
#AusPol The dullards @PeterDutton_MP and @ScottMorrisonMP should not presume too much what #EverydayAustralians bel… https://t.co/LJyJbbJbO9,2021-05-02 22:58:42,Sol-3 [Down Under],[150.9319748 -33.848244 ],"Sydney, New South Wales"
I was curiously reading the Dress and Conduct in the Chamber page and came across this... does anyone have any answ… https://t.co/hYWfqhcyax,2021-05-02 22:57:27,"Melbourne, Victoria",[145.05313534 -37.97256651],"Melbourne, Victoria"
@DeborahAnnG This Federal Govt urgently needs to create a new Cabinet position: Minister to Oversee Announcements.… https://t.co/JcTh7inz2C,2021-05-02 22:48:48,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
Will we be back in black? I have a couple of hundred coffee mugs and t-shirts to get rid of soon. Why the 14 month… https://t.co/9lCWGMUFDD,2021-05-02 22:48:48,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
@rosygonsalves74 doesn't find many policiticans inspiring but is inspired by @LindaBurneyMP and @MehreenFaruqi… https://t.co/l3ut2cZ5Bu,2021-05-02 04:47:56,Awabakal Land (Tronno),[150.9319748 -33.848244 ],"Sydney, New South Wales"
@mattallen It’s the same reason we need to get all our #startupaus thinking SDGs?! There’s so much more scary sh!t… https://t.co/oG80mLom65,2021-05-01 09:50:33,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
@newscomauHQ They say believe in the science of #ClimateChange why not the science of #gender #UK #London #England,2021-04-30 06:31:42,Perth WA ,[150.05434676 -32.83103996],"New South Wales, Australia"
"Shout out to all the asthmatics dealing with another day of backburning in Sydney. As a mild asthmatic, the fact I… https://t.co/HU7LFWX4Mk",2021-04-29 22:15:25,"Sydney, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"This butterfly has a 94% chance of extinction within 20 years. 

In fact, it could already be #extinct. This is the… https://t.co/WpN446lZ6t",2021-04-28 10:40:00,Australia,[138.61115987 -35.00076706],"Adelaide, South Australia"
BLUE Abstract Roses | Fabric Art | Recycled Fabric | Sustainable Art by Leah Justyce #zerowaste #ecofriendly… https://t.co/epqmZ9TWSf,2021-04-28 00:58:35,,[143.85274083 -37.56745214],"Ballarat, Victoria"
"Australia and Germany are working together on #hydrogen supply chains.

Thank you @GermanyInOz for a great discussi… https://t.co/oi29Zp4Pvu",2021-04-27 08:18:38,Australia,[149.11236227 -35.30787699],Embassy of the Federal Republic of Germany
"If u want us to get serious about #climatechange, show me the money. We’ve all got dirt that struggles to return an… https://t.co/7bl7dLOGWo",2021-04-26 07:53:48,Borden Western Australia,[118.39296258 -34.03236749],"Toompup, Western Australia"
#ScottyTheSaviour thinks god wants him to win the Nobel Prize for being #ScottyDoesNothing . It would be a miracle… https://t.co/AO1eionsrH,2021-05-02 11:16:25,Tumbi Umbi Australia,[151.44249824 -33.34664699],"Central Coast, New South Wales"
"@MichaelPascoe01 But it isn't.

#Shame on #ScottyDoesNothing",2021-05-02 09:17:21,Australia,[127.6726105 -18.2252585],"Halls Creek, Western Australia"
#ScottyDoesNothing has a very poor memory https://t.co/zml0hLHIg6,2021-05-02 08:02:56,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Oooh look over there - #ScottyDoesNothing announces a big child care tax cut in the upcoming budget. Distraction is… https://t.co/EELyYxECRw,2021-05-01 22:06:25,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Too right @AlboMP yet #ScottyDoesNothing &amp; #fraudenberg openly laugh &amp; ridicule states when they put forward Howard… https://t.co/l6PFmEVwL3,2021-05-01 22:03:58,Australia,[145.46918049 -36.56980755],"Victoria, Australia"
Its all about politics to #ScottyDoesNothing . It also says something about the Values of those Australians who vot… https://t.co/oPPqXDyk8F,2021-05-01 20:47:14,Tumbi Umbi Australia,[151.44249824 -33.34664699],"Central Coast, New South Wales"
"@timsout @MarjorieGarante This is worse than I even thought the #LNPToxicCulture could go.

We must be able to crea… https://t.co/6NbGLNr4Fq",2021-05-01 09:11:17,Australia,[123.66596288 -17.33032454],"Derby, Western Australia"
#ScottyTheChosenOne #ScottyFromPhotoOps #ScottyDoesNothing #ScottyFromGilead #nswpol #auspol #LNPCrimeFamily… https://t.co/W1zyjgGXTl,2021-05-01 07:04:59,"Hell,Hades,Mictlan,Tartarus",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"Obvious Dutton is gunning for Morrison’s job, #ScottyFromPhotoOps does nothing but smile for the camera, Dutton is already leader #libspill",2021-05-03 04:35:15,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
No wonder #ScottyFromPhotoOps hates Twitter. There’s too many super smart people here who use critical thinking https://t.co/NMJYnF3yEb,2021-05-02 23:19:23,"Sydney, New South Wales",[150.9319748 -33.848244 ],"Sydney, New South Wales"
#ScottyFromPhotoOps couldn't organise a chook raffle. https://t.co/8Mv9kP2xaX,2021-05-02 07:54:37,NSW Far North Coast,[147.37352182 -42.83474908],"Hobart, Tasmania"
@JohnRHewson What sort of award will #ScottyFromPhotoOps give himself,2021-05-01 22:37:04,Australia,[123.66596288 -17.33032454],"Derby, Western Australia"
#ScottyTheChosenOne #ScottyFromPhotoOps #ScottyDoesNothing #ScottyFromGilead #nswpol #auspol #LNPCrimeFamily… https://t.co/W1zyjgGXTl,2021-05-01 07:04:59,"Hell,Hades,Mictlan,Tartarus",[150.9319748 -33.848244 ],"Sydney, New South Wales"
@ScottMorrisonMP Empathy Coaches obviously failed to teach him about Consent! #ScoMo #ScoMoses #ScottyFromHillsong… https://t.co/Tm5RgOREzp,2021-05-01 06:37:31,"Sydney, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"@joshwrigley @AlboMP ""IF""! and thereby hangs a tale... #ScottyFromMarketing",2021-05-02 05:42:19,"Helensvale, Gold Coast. Qld.",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"@AlboMP @KKeneally Expecting a bit much from Scotty, that would require ACTION!  An unreasonable expectation. #ScottyFromMarketing",2021-05-02 05:39:33,"Helensvale, Gold Coast. Qld.",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"@anoman64 @KarenMMiddleton Abbott was inept. 
He was a bungler, while trying to be a statesman.… https://t.co/zDkJMk06Id",2021-05-01 16:03:30,Bolwarra,[151.58967032 -32.74788   ],"Maitland (NSW), New South Wales"
"@mormorlady @LesStonehouse Maybe this is the problem with the #LNP ?
They're all taking they're que from… https://t.co/VB2XxgKHfR",2021-05-01 15:39:53,Bolwarra,[151.58967032 -32.74788   ],"Maitland (NSW), New South Wales"
@ScottMorrisonMP Empathy Coaches obviously failed to teach him about Consent! #ScoMo #ScoMoses #ScottyFromHillsong… https://t.co/Tm5RgOREzp,2021-05-01 06:37:31,"Sydney, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"Embracing being a foot soldier of patriarchy never pays off, despite all the best efforts in the world, this deeply… https://t.co/Ixof37PkcR",2021-05-01 03:41:32,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
"Brittany Higgins meets Scott Morrison, says he agreed system let her down over rape allegation.  

The trouble is,… https://t.co/uhzsci41Vs",2021-05-01 00:14:51,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
#ScottyFromMarketing in action.  #auspol https://t.co/cfy2KJlZOE,2021-05-01 00:08:59,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
ICYMI our new video with tips for answering those annoying things your disengaged from politics mates or Lib mates… https://t.co/sgdWjwNQyu,2021-04-30 21:58:43,"Sydney, New South Wales",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"So if you had any doubts that #ScottyFromMarketing's ""government"" was racist, here they are confirming it (once aga… https://t.co/dacXG1e5I0",2021-04-30 13:54:05,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
Wouldn't be me standing within spitting distance of either Laming or #ScottyFromMarketing https://t.co/0ux1KBOt62,2021-04-30 12:21:37,"Queanbeyan, New South Wales",[149.12978253 -35.31397979],"Canberra, Australian Capital Territory"
"So well put...not even #ScottyFromMarketing could say it with such honesty and accuracy!
👇 https://t.co/RYF6oC0SPk",2021-04-30 10:46:10,"Melbourne, Victoria",[145.05313534 -37.97256651],"Melbourne, Victoria"
It must be painfully awkward supporting the same team as #ScottyFromMarketing .. Respect right there Paula... Go So… https://t.co/fTsbxSSh2p,2021-04-30 09:41:27,NSW Sth Coast & West Sumbawa ,[150.593866   -34.87720123],"Nowra - Bomaderry, New South Wales"
Nothing good ever comes from a “frank and robust discussion.” #auspol #ScottyFromDamageControl #ScottyTheAnnouncer #ScottyFromMarketing,2021-04-30 08:38:56,"Brisbane, Australia",[152.99319654 -27.38214299],"Brisbane, Queensland"
"#nswpol #auspol #LNPCrimeFamily #MessiahFromTheShire #ScottyTheChosenOne 
💐Thank you @danilic , Rupert as Morgan Fr… https://t.co/SuRt3WybJy",2021-04-30 04:38:10,"Hell,Hades,Mictlan,Tartarus",[150.9319748 -33.848244 ],"Sydney, New South Wales"
@chaser First time I've agreed with SfM! #ScottyFromMarketing,2021-04-30 03:35:47,"Helensvale, Gold Coast. Qld.",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"The cheque book has no more pages!! For my grandchild 

#ScottyFromDamageControl 
#ScottyFromMarketing… https://t.co/nZUcSFUqgJ",2021-04-30 01:29:55,Australia,[148.60837899 -32.24749597],"Dubbo, New South Wales"
