tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
#hometobilo #hometobilo #hometobilo #hometobilo #hometobilo #hometobilo #hometobilo #hometobilo #hometobilo… https://t.co/5xO50jzL4J,2021-04-29 22:59:43,"Woronora, Sydney",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"Attention @MichaelSukkarMP 
Do something. Anything!
#LNPfail 
#EnoughIsEnough 
#auspol 
#alboforpm https://t.co/XZ9wZ52Hvv",2021-04-29 02:17:19,Melbourne,[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
Perhaps the Minister for the Homeless @MichaelSukkarMP could pass on his thoughts on this crisis? Or will he ignore… https://t.co/5IAlUBEAq2,2021-04-28 21:24:28,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"The UK are about to class Misogyny as a Hate Crime.

That's progress @ScottMorrisonMP 

#EnoughIsEnough… https://t.co/CB8AHkpGEk",2021-04-28 02:22:22,Hastings - Australia,[145.05313534 -37.97256651],"Melbourne, Victoria"
@CraigKellyMP Can’t wait to see you on the unemployment line What a fake you are Let’s hope Twitter gives you the b… https://t.co/PFLyZlDbzA,2021-04-28 02:17:30,"Woronora, Sydney",[153.36936147 -27.95422176],"Gold Coast, Queensland"
@LesStonehouse That's me too. Voted @AustralianLabor ever since as they will not send our youth to die as conscript… https://t.co/qMPeTS0w5Y,2021-04-27 22:17:40,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
What relationship does she have with someone to get that? I got no choice. I am grateful for my AZ vaccine for free… https://t.co/yf9M29IGZq,2021-04-27 16:48:17,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"@agvocate_au @HayleyFoster_ @eraaustralia @AWAVA_women Rural, Regional &amp; Remote Australia still has communication a… https://t.co/qOrFitgGFn",2021-04-27 10:33:22,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
@severs_jeanette Totally agree! #EnoughIsEnough,2021-04-27 10:29:48,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
@agvocate_au @jo_sr01 @AWAVA_women @Kate_Jenkins_ @safer_families @eSafetyWomen @HayleyFoster_ @AgChatOZ… https://t.co/JTqXczlaW1,2021-04-27 10:04:01,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
