Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party,temp,tweetText,tweetCreated,userLocation,Coordinates,TweetPlace,cleaned_text,clean_lemmatized,clean_lemmatized Positive Sentiment Score,clean_lemmatized Negative Sentiment Score,clean_lemmatized Neutral Sentiment Score,clean_lemmatized Compound Sentiment Score,longitude_x,latitude_x,distance
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,@20thCenturyDan Organising our next #March4Justice rally in Brisbane on Friday.,2021-04-24 11:31:57,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland", organising next  rally brisbane friday.,organising next rally brisbane friday.,0.0,0.0,1.0,0.0,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"Great analogy

#March4Justice #EnoughIsEnough https://t.co/z23Bapci9o",2021-04-24 10:30:22,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland",great analogy  ,great analogy,0.804,0.0,0.196,0.6249,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,There was a movie once where prisoners wore a collar that gently removed their head if they strayed. Just an idea..… https://t.co/nSeTBvICP3,2021-04-26 22:37:57,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland",movie prisoners wore collar gently removed head strayed. idea..…,movie prisoner wore collar gently removed head strayed. idea..…,0.222,0.259,0.519,-0.128,152.99319654,-27.38214299,7.8851412879983656
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#ScottyFromMarketing #ScottyFromCoverups #scottymustgo #MurdochGutterMedia #MurdochRoyalCommission
Alan Kohler: Sco… https://t.co/K2ihPLF4H2",2021-04-26 02:24:11,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",     alan kohler: sco…,alan kohler: sco…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"@DarylTractor @JaeRagnarok @DanielAndrewsMP &amp; the #labor state premiers did nothing?
#bullshit",2021-04-30 08:07:26,Adelaide Australia,[138.61115987 -35.00076706],"Adelaide, South Australia",   &amp;  state premiers nothing? ,&amp; state premier nothing?,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#DomesticViolence #EnoughIsEnough #EndViolenceAgainstWomen 
Kelly Wilkinson’s alleged killer told of murder charges… https://t.co/ydEH2vr86w",2021-05-01 03:11:36,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",   kelly wilkinson’s alleged killer told murder charges…,kelly wilkinson’s alleged killer told murder charges…,0.0,0.643,0.357,-0.875,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"We’ve got to keep making noise Australia, we can’t grow silent again on violence against women and children. Silenc… https://t.co/8mobloxL5h",2021-04-30 23:17:51,,[138.61115987 -35.00076706],"Adelaide, South Australia","we’ve got keep making noise australia, can’t grow silent violence women children. silenc…","we’ve got keep making noise australia, can’t grow silent violence woman children. silenc…",0.0,0.255,0.745,-0.6249,138.61115987,-35.00076706,10.719644947128872
