Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party,temp,tweetText,tweetCreated,userLocation,Coordinates,TweetPlace,cleaned_text,clean_lemmatized,clean_lemmatized Positive Sentiment Score,clean_lemmatized Negative Sentiment Score,clean_lemmatized Neutral Sentiment Score,clean_lemmatized Compound Sentiment Score,longitude_x,latitude_x,distance
Canberra,-35.270926,149.125,0.0,0.0,17417.0,20427.0,1119,1,"Australia and Germany are working together on #hydrogen supply chains.

Thank you @GermanyInOz for a great discussi… https://t.co/oi29Zp4Pvu",2021-04-27 08:18:38,Australia,[149.11236227 -35.30787699],Embassy of the Federal Republic of Germany,australia germany working together  supply chains. thank  great discussi…,australia germany working together supply chains. thank great discussi…,0.485,0.0,0.515,0.765,149.11236227,-35.30787699,4.26318680154383
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,There are lots of other reasons  like shock jocks and MSM but everyone must have noticed  Fukmo's  popularity has t… https://t.co/bWOSqsnXFp,2021-04-23 20:27:40,brisbane,[152.99319654 -27.38214299],"Brisbane, Queensland",lots reasons like shock jocks msm everyone must noticed fukmos popularity t…,lot reason like shock jock msm everyone must noticed fukmos popularity t…,0.326,0.151,0.523,0.4588,152.99319654,-27.38214299,7.8851412879983656
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"I called it over a week ago where #newspoll would be tonight. 

Marketing boy just did 10 days of a mini election a… https://t.co/2ot6a2LZKR",2021-04-25 12:11:13,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",called week ago  would tonight. marketing boy 10 days mini election a…,called week ago would tonight. marketing boy 10 day mini election a…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"This butterfly has a 94% chance of extinction within 20 years. 

In fact, it could already be #extinct. This is the… https://t.co/WpN446lZ6t",2021-04-28 10:40:00,Australia,[138.61115987 -35.00076706],"Adelaide, South Australia","butterfly 94% chance extinction within 20 years. fact, could already  the…","butterfly 94% chance extinction within 20 years. fact, could already the…",0.167,0.0,0.833,0.25,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,@toninicho No. We need proper quarantine.  Current plans just prop up Hotel Chains. We need proper quarantine for… https://t.co/lY1wssH97U,2021-04-26 06:01:16,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia", no. need proper quarantine. current plans prop hotel chains. need proper quarantine for…,no. need proper quarantine. current plan prop hotel chains. need proper quarantine for…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
